execucao,num_dados,operacao,abordagem,tempo_gasto,rotacoes,altura
1,100,insercao,Red Black,0.000000000000,49.0,9.0
1,100,insercao,AVL,0.000000000000,69.0,8.0
1,100,busca,Red Black,0.000000000000,,
1,100,busca,AVL,0.000000000000,,
1,100,exclusão,Red Black,0.000000000000,50.0,
1,100,pesquisa,AVL,0.002043008804,46.0,
2,100,insercao,Red Black,0.000000000000,53.0,9.0
2,100,insercao,AVL,0.000000000000,55.0,8.0
2,100,busca,Red Black,0.003940820694,,
2,100,busca,AVL,0.000000000000,,
2,100,exclusão,Red Black,0.001382112503,34.0,
2,100,pesquisa,AVL,0.000000000000,33.0,
3,100,insercao,Red Black,0.000000000000,58.0,9.0
3,100,insercao,AVL,0.001276254654,71.0,8.0
3,100,busca,Red Black,0.001802682877,,
3,100,busca,AVL,0.000000000000,,
3,100,exclusão,Red Black,0.000000000000,38.0,
3,100,pesquisa,AVL,0.001963138580,46.0,
4,100,insercao,Red Black,0.000854253769,49.0,9.0
4,100,insercao,AVL,0.001227617264,55.0,8.0
4,100,busca,Red Black,0.000000000000,,
4,100,busca,AVL,0.000000000000,,
4,100,exclusão,Red Black,0.000000000000,36.0,
4,100,pesquisa,AVL,0.000000000000,34.0,
5,100,insercao,Red Black,0.000000000000,58.0,9.0
5,100,insercao,AVL,0.008016824722,65.0,8.0
5,100,busca,Red Black,0.000000000000,,
5,100,busca,AVL,0.000000000000,,
5,100,exclusão,Red Black,0.000000000000,41.0,
5,100,pesquisa,AVL,0.005080938339,38.0,
6,100,insercao,Red Black,0.000000000000,57.0,9.0
6,100,insercao,AVL,0.000000000000,65.0,8.0
6,100,busca,Red Black,0.000000000000,,
6,100,busca,AVL,0.004909753799,,
6,100,exclusão,Red Black,0.000000000000,41.0,
6,100,pesquisa,AVL,0.002162933350,35.0,
7,100,insercao,Red Black,0.000000000000,60.0,10.0
7,100,insercao,AVL,0.001803636551,63.0,8.0
7,100,busca,Red Black,0.000000000000,,
7,100,busca,AVL,0.000000000000,,
7,100,exclusão,Red Black,0.000500202179,41.0,
7,100,pesquisa,AVL,0.002159357071,32.0,
8,100,insercao,Red Black,0.000000000000,61.0,9.0
8,100,insercao,AVL,0.000550746918,60.0,8.0
8,100,busca,Red Black,0.000000000000,,
8,100,busca,AVL,0.000000000000,,
8,100,exclusão,Red Black,0.000953197479,43.0,
8,100,pesquisa,AVL,0.000000000000,46.0,
9,100,insercao,Red Black,0.000000000000,58.0,9.0
9,100,insercao,AVL,0.000000000000,66.0,8.0
9,100,busca,Red Black,0.000000000000,,
9,100,busca,AVL,0.006520509720,,
9,100,exclusão,Red Black,0.000000000000,39.0,
9,100,pesquisa,AVL,0.000000000000,38.0,
10,100,insercao,Red Black,0.000000000000,62.0,9.0
10,100,insercao,AVL,0.000000000000,77.0,8.0
10,100,busca,Red Black,0.000000000000,,
10,100,busca,AVL,0.000000000000,,
10,100,exclusão,Red Black,0.000000000000,33.0,
10,100,pesquisa,AVL,0.000000000000,43.0,
1,1000,insercao,Red Black,0.008001089096,596.0,13.0
1,1000,insercao,AVL,0.016000747681,701.0,12.0
1,1000,busca,Red Black,0.006496906281,,
1,1000,busca,AVL,0.000000000000,,
1,1000,exclusão,Red Black,0.009146928787,403.0,
1,1000,pesquisa,AVL,0.021670103073,409.0,
2,1000,insercao,Red Black,0.008093118668,568.0,13.0
2,1000,insercao,AVL,0.011219739914,683.0,12.0
